Tweet Id;Text;Name;UTC;Created At;Favorites;Retweets;Language;Client;Tweet Type;URLs;Hashtags;Mentions;Media Type
595;Feliz día del maestro ????? a los compatriotas que día a día con su empeño y dedicacion forman a la próxima generación de paraguayos ???? en especial a los maestros del sistema escolar público por la enorme responsabilidad de igualar las oportunidades para todos los paraguayos;Santiago Peña;2018-04-30T21:37:25.000Z;Mon Apr 30 21:37:25 +0000 2018;1572;243;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;None
1455;Feliz día del niño! https://t.co/d7ffik1Lti;Santiago Peña;2020-08-16T21:51:25.000Z;Sun Aug 16 21:51:25 +0000 2020;774;16;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
17;Feliz día del Periodista. En los últimos años tuve la oportunidad de conocer, compartir y aprender de muchos de ustedes??????????????? https://t.co/Pme6RikInp;Santiago Peña;2019-04-26T17:45:37.000Z;Fri Apr 26 17:45:37 +0000 2019;258;24;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
1130;Feliz Día Nacional del Terere https://t.co/8s8q9m5U7p;Santiago Peña;2022-02-26T14:50:21.000Z;Sat Feb 26 14:50:21 +0000 2022;1651;81;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
1601;Feliz día papá! Gracias por ser la luz que ilumina mi camino cada día. Feliz día a todos los padres! https://t.co/ANcoyBIe7x;Santiago Peña;2020-06-21T14:38:49.000Z;Sun Jun 21 14:38:49 +0000 2020;894;19;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
2532;Feliz día para todos los que por medio del trabajo se realizan como persona, aportan a su familia y contribuyen al desarrollan de nuestro querido Paraguay ???? Feliz día del Trabajador!;Santiago Peña;2018-05-01T20:04:15.000Z;Tue May 01 20:04:15 +0000 2018;1753;251;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;None
1108;Feliz Navidad! https://t.co/0AUMY7j7j2;Santiago Peña;2021-12-25T04:10:20.000Z;Sat Dec 25 04:10:20 +0000 2021;1291;27;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
2814;Feliz Navidad! https://t.co/FxVooO8EnE;Santiago Peña;2019-12-25T00:39:51.000Z;Wed Dec 25 00:39:51 +0000 2019;1335;47;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
2201;"Firme con la dirigencia del quinto departamento. Llegamos a Yhú con el equipo ganador, para reforzar nuestro compromiso con todos los colorados. 

#JuntosHagamosMás 
#SantiPresidente https://t.co/l3qy7FVeu7";Santiago Peña;2017-11-30T14:47:25.000Z;Thu Nov 30 14:47:25 +0000 2017;148;70;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;2;0;photo
1773;Firmes, caminando juntos hacia el mismo objetivo. Esto lo vamos a lograr con Uds, trabajando entre todos ¡Gracias queridos lambareños! https://t.co/g4Q0PlIvuC;Santiago Peña;2017-09-24T02:52:38.000Z;Sun Sep 24 02:52:38 +0000 2017;294;65;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;photo
